Expert name,Domain,Domain skills,Years of experience,Previous interviews,Qualifications,Publications,Communication,Professionality,Expert Number of Skills,Expert ID
Rekha Patel,"Missile & Strategic Systems, Electronics & Communication, Nuclear Technology","Propulsion Technology, Simulation & Modeling, System Integration, Guidance & Control, Aerodynamics, Electronic Warfare, Secure Communication, Antenna Design, Embedded Systems, RF Engineering, Safety Protocols",12,5,Masters,8,9.0,9.0,11,122
Dr. Gaurav Shukla,"Chemical & Biological Defense, Missile & Strategic Systems","Biotechnology, Decontamination, Protective Gear Design, Chemical Engineering, Detection Systems, System Integration, Simulation & Modeling, Guidance & Control, Propulsion Technology",12,5,PhD,20,8.0,9.0,9,123
Pooja Puri,"Cybersecurity & Information Technology, Armaments & Combat Engineering, Missile & Strategic Systems","Cryptography, Cyber Defense, Simulation & Modeling, Network Security, Ethical Hacking, Ballistics, Testing & Validation, Systems Integration, Mechanical Design, Explosive Chemistry, Aerodynamics",15,8,Masters,12,8.0,9.0,11,124
Dr. Snehal Salgaoncar,Naval Systems,"Sonar Technology, Hydrodynamics, Submarine Technology, Weapon Integration, Marine Engineering",12,5,PhD,8,8.0,9.0,5,125
Dhruv Arora,"Naval Systems, Armaments & Combat Engineering, Nuclear Technology","Submarine Technology, Hydrodynamics, Marine Engineering, Sonar Technology, Weapon Integration, Mechanical Design, Testing & Validation, Explosive Chemistry, Ballistics, Systems Integration, Nuclear Engineering",10,4,Masters,6,7.0,8.0,11,126
Dr. Krishna Rathi,Cybersecurity & Information Technology,"Ethical Hacking, Network Security, Cyber Defense, Cryptography, Simulation & Modeling",15,6,PhD,10,9.0,9.0,5,127
Shivangi Seth,"Nuclear Technology, Armaments & Combat Engineering","Radiation Protection, Safety Protocols, Nuclear Weapons Design, Nuclear Physics, Nuclear Engineering, Mechanical Design, Explosive Chemistry",14,5,Masters,9,8.0,8.0,7,128
Dr. Manpreet Singh,"Electronics & Communication, Life Sciences","Antenna Design, RF Engineering, Electronic Warfare, Embedded Systems, Secure Communication, Physiology",12,4,PhD,7,8.0,9.0,6,129
Dr. Shivam Gupta,"Missile & Strategic Systems, Energy Systems, Electronics & Communication","Simulation & Modeling, System Integration, Aerodynamics, Propulsion Technology, Guidance & Control, Thermal Management, Directed Energy, Battery Technology, Power Electronics, Renewable Energy, Embedded Systems, Antenna Design",15,5,PhD,20,8.0,9.0,12,130
Srishti Agarwal,"Armaments & Combat Engineering, Naval Systems, Cybersecurity & Information Technology","Ballistics, Explosive Chemistry, Mechanical Design, Systems Integration, Testing & Validation, Weapon Integration, Submarine Technology, Hydrodynamics, Marine Engineering, Sonar Technology, Cyber Defense, Cryptography",12,5,Masters,10,8.0,9.0,12,131
Dr. Kanak Rajput,"Chemical & Biological Defense, Nuclear Technology","Chemical Engineering, Protective Gear Design, Detection Systems, Decontamination, Biotechnology, Radiation Protection, Nuclear Engineering, Nuclear Weapons Design",8,3,PhD,20,9.0,8.0,8,132
Jyoti Goyal,"Simulation & Training, Energy Systems","Scenario Development, Flight Simulation, Game Design, Simulation Modeling, Virtual Reality (VR), Thermal Management, Renewable Energy, Power Electronics, Battery Technology, Directed Energy",10,4,Masters,15,7.0,8.0,10,133
Dr. Aayush Jain,Guidance & Control Systems,"Inertial Navigation, Control Theory, Algorithm Development, Embedded Systems",12,6,PhD,25,9.0,9.0,4,134
Shruti Maheshwari,"Armaments & Combat Engineering, Life Sciences","Mechanical Design, Ballistics, Systems Integration, Explosive Chemistry, Testing & Validation, Biotechnology, Physiology, Biomedical Engineering, Nutrition Science",15,7,Masters,18,8.0,8.0,9,135
Dr. Shreyansh Chaudhary,"Cybersecurity & Information Technology, Electronics & Communication","Network Security, Ethical Hacking, Cryptography, Cyber Defense, Simulation & Modeling, RF Engineering, Electronic Warfare, Secure Communication, Antenna Design, Embedded Systems",9,2,PhD,22,8.0,9.0,10,136
Anjali Kumar,"Electronics & Communication, Armaments & Combat Engineering, Nuclear Technology","Electronic Warfare, Secure Communication, Antenna Design, RF Engineering, Embedded Systems, Ballistics, Systems Integration, Mechanical Design, Testing & Validation, Explosive Chemistry, Nuclear Weapons Design, Safety Protocols",11,5,Masters,12,7.0,8.0,12,137
Dr. Arun Garg,"Nuclear Technology, Chemical & Biological Defense","Nuclear Weapons Design, Nuclear Physics, Radiation Protection, Safety Protocols, Nuclear Engineering, Detection Systems",13,6,PhD,24,9.0,9.0,6,138
Sonal Mathur,"Artificial Intelligence & Machine Learning, Electronics & Communication, Guidance & Control Systems","Predictive Analytics, Machine Learning Algorithms, Computer Vision, Natural Language Processing, Autonomous Systems, Embedded Systems, Secure Communication, Antenna Design, RF Engineering, Electronic Warfare, Control Theory",14,8,Masters,16,8.0,8.0,11,139
Dr. Harsh Shrivastav,"Guidance & Control Systems, Nuclear Technology, Materials & Metallurgy","Control Theory, Inertial Navigation, Sensor Fusion, Embedded Systems, Algorithm Development, Safety Protocols, Radiation Protection, Nuclear Engineering, Nuclear Physics, Nuclear Weapons Design, Material Science, Nanotechnology",15,4,PhD,12,8.0,9.0,12,140
Tanya Jain,"Simulation & Training, Missile & Strategic Systems","Game Design, Flight Simulation, Scenario Development, Simulation Modeling, Virtual Reality (VR), Propulsion Technology, Simulation & Modeling, Aerodynamics",18,6,Masters,8,7.0,8.0,8,141
Dr. Rishabh Bansal,"Simulation & Training, Chemical & Biological Defense","Virtual Reality (VR), Simulation Modeling, Game Design, Scenario Development, Flight Simulation, Protective Gear Design, Chemical Engineering, Detection Systems",12,5,PhD,10,9.0,8.0,8,142
Vaishnavi Mishra,"Electronics & Communication, Simulation & Training","Secure Communication, Electronic Warfare, Embedded Systems, Antenna Design, RF Engineering, Virtual Reality (VR), Flight Simulation, Simulation Modeling",20,7,Masters,9,8.0,9.0,8,143
Dr. Chandni Aggarwal,Electronics & Communication,"RF Engineering, Embedded Systems, Antenna Design, Secure Communication, Electronic Warfare",16,5,PhD,11,9.0,8.0,5,144
Vineet Taneja,"Life Sciences, Armaments & Combat Engineering","Physiology, Environmental Science, Nutrition Science, Biotechnology, Biomedical Engineering, Ballistics, Mechanical Design, Systems Integration, Testing & Validation, Explosive Chemistry",19,6,Masters,7,8.0,9.0,10,145
Dr. Surbhi Tomar,"Guidance & Control Systems, Cybersecurity & Information Technology","Sensor Fusion, Embedded Systems, Inertial Navigation, Algorithm Development, Control Theory, Simulation & Modeling, Network Security, Cyber Defense, Cryptography",14,4,PhD,9,8.0,9.0,9,146
Gaurav Aggarwal,"Aerospace & Aeronautics, Cybersecurity & Information Technology","Aerodynamics, Flight Mechanics, Propulsion Systems, CAD & Simulation, Material Science, Cyber Defense, Ethical Hacking, Cryptography, Network Security",17,6,Masters,8,9.0,8.0,9,147
Dr. Sudhanshu Gupta,"Simulation & Training, Aerospace & Aeronautics","Game Design, Scenario Development, Simulation Modeling, Flight Simulation, Virtual Reality (VR), Aerodynamics, Material Science, Propulsion Systems, CAD & Simulation",18,7,PhD,10,9.0,9.0,9,148
Dr. Ananya Sharma,Naval Systems,"Marine Engineering, Sonar Technology, Submarine Technology, Weapon Integration",12,5,PhD,20,9.0,8.0,4,149
Dr. Rohan Chhabria,"Guidance & Control Systems, Chemical & Biological Defense","Algorithm Development, Embedded Systems, Inertial Navigation, Sensor Fusion, Control Theory, Decontamination, Detection Systems, Protective Gear Design",15,5,PhD,20,9.0,8.0,8,150
Dr. Kabir Jain,"Armaments & Combat Engineering, Guidance & Control Systems","Mechanical Design, Explosive Chemistry, Testing & Validation, Ballistics, Systems Integration, Control Theory",12,5,PhD,20,8.0,9.0,6,151
Dr. Ishan Kumar,"Guidance & Control Systems, Robotics & Autonomous Systems","Algorithm Development, Control Theory, Sensor Fusion, Inertial Navigation, Embedded Systems, Path Planning, AI & Machine Learning",15,5,PhD,20,8.0,9.0,7,152
Dr. Kashish Arora,"Aerospace & Aeronautics, Robotics & Autonomous Systems","Propulsion Systems, Material Science, CAD & Simulation, Aerodynamics, Flight Mechanics, Robotics Engineering, Path Planning, Control Systems, AI & Machine Learning",15,4,PhD,23,8.0,9.0,9,153
Dr. Tanvi Seth,"Missile & Strategic Systems, Simulation & Training, Artificial Intelligence & Machine Learning","Simulation & Modeling, Guidance & Control, Aerodynamics, Propulsion Technology, System Integration, Simulation Modeling, Game Design, Flight Simulation, Virtual Reality (VR), Scenario Development, Predictive Analytics",12,5,PhD,10,8.0,9.0,11,154
Arjun Rathi,"Life Sciences, Armaments & Combat Engineering","Physiology, Biotechnology, Environmental Science, Nutrition Science, Biomedical Engineering, Testing & Validation, Explosive Chemistry, Systems Integration, Mechanical Design",12,5,Masters,20,8.0,9.0,9,155
Tanisha Jain,"Naval Systems, Robotics & Autonomous Systems","Submarine Technology, Marine Engineering, Weapon Integration, Hydrodynamics, Sonar Technology, Sensors & Actuators, Robotics Engineering, AI & Machine Learning, Control Systems, Path Planning",12,5,Masters,8,9.0,8.0,10,156
Dr. Sakshi Puri,Cybersecurity & Information Technology,"Cryptography, Cyber Defense, Network Security, Simulation & Modeling",10,4,PhD,12,8.0,9.0,4,157
Rishab Salgaoncar,"Armaments & Combat Engineering, Energy Systems, Missile & Strategic Systems","Ballistics, Mechanical Design, Explosive Chemistry, Systems Integration, Testing & Validation, Thermal Management, Directed Energy, Power Electronics, Renewable Energy, Battery Technology, Aerodynamics",8,3,Masters,6,7.0,8.0,11,158
Dr. Neha Jain,"Artificial Intelligence & Machine Learning, Armaments & Combat Engineering, Simulation & Training","Predictive Analytics, Machine Learning Algorithms, Autonomous Systems, Natural Language Processing, Computer Vision, Mechanical Design, Explosive Chemistry, Testing & Validation, Ballistics, Systems Integration, Scenario Development",9,6,PhD,15,9.0,8.0,11,159
Kavya Bansal,"Cybersecurity & Information Technology, Life Sciences","Cryptography, Simulation & Modeling, Network Security, Cyber Defense, Ethical Hacking, Biotechnology",11,7,Masters,10,8.0,9.0,6,160
Dr. Dhruv Gupta,"Robotics & Autonomous Systems, Chemical & Biological Defense, Guidance & Control Systems","AI & Machine Learning, Control Systems, Path Planning, Sensors & Actuators, Robotics Engineering, Biotechnology, Detection Systems, Decontamination, Protective Gear Design, Chemical Engineering, Embedded Systems, Control Theory",7,2,PhD,9,6.0,7.0,12,161
Srishti Tomar,Missile & Strategic Systems,"Simulation & Modeling, Propulsion Technology, Aerodynamics, System Integration",9,5,Masters,11,8.0,9.0,4,162
Dr. Aditya Agarwal,"Aerospace & Aeronautics, Armaments & Combat Engineering","Aerodynamics, Propulsion Systems, CAD & Simulation, Flight Mechanics, Material Science, Explosive Chemistry, Systems Integration, Mechanical Design, Ballistics, Testing & Validation",8,4,PhD,14,9.0,8.0,10,163
Vidhi Shrivastav,Cybersecurity & Information Technology,"Cryptography, Network Security, Cyber Defense, Simulation & Modeling, Ethical Hacking",10,6,Masters,13,8.0,9.0,5,164
Aryaman Kumar,"Armaments & Combat Engineering, Simulation & Training, Aerospace & Aeronautics","Mechanical Design, Explosive Chemistry, Testing & Validation, Systems Integration, Ballistics, Game Design, Flight Simulation, Virtual Reality (VR), Simulation Modeling, Scenario Development, Propulsion Systems, Material Science",15,12,Masters,20,8.0,9.0,12,165
Dr. Kashish Sood,"Electronics & Communication, Robotics & Autonomous Systems","Antenna Design, Embedded Systems, RF Engineering, Electronic Warfare, Secure Communication, Sensors & Actuators, AI & Machine Learning, Path Planning",18,15,PhD,30,9.0,8.5,8,166
Apeksha Jain,"Guidance & Control Systems, Armaments & Combat Engineering","Inertial Navigation, Control Theory, Embedded Systems, Sensor Fusion, Algorithm Development, Ballistics, Mechanical Design",12,10,Masters,25,7.5,8.0,7,167
Dr. Kabir Mehta,"Guidance & Control Systems, Robotics & Autonomous Systems","Inertial Navigation, Algorithm Development, Control Theory, Sensor Fusion, Embedded Systems, Path Planning, Control Systems, AI & Machine Learning, Robotics Engineering",20,18,PhD,40,9.0,9.5,9,168
Jeevan Jain,"Electronics & Communication, Aerospace & Aeronautics","RF Engineering, Antenna Design, Electronic Warfare, Embedded Systems, Secure Communication, CAD & Simulation, Aerodynamics",15,12,Masters,28,8.5,9.0,7,169
Dr. Shreya Shukla,"Energy Systems, Guidance & Control Systems","Renewable Energy, Directed Energy, Power Electronics, Thermal Management, Battery Technology, Embedded Systems, Algorithm Development, Inertial Navigation",18,15,PhD,35,9.0,9.0,8,170
Dr. Shivansh Seth,"Simulation & Training, Aerospace & Aeronautics","Simulation Modeling, Virtual Reality (VR), Game Design, Flight Simulation, Scenario Development, Aerodynamics, CAD & Simulation, Propulsion Systems, Material Science, Flight Mechanics",22,20,PhD,50,9.5,9.5,10,171
Sakshi Jain,"Energy Systems, Robotics & Autonomous Systems, Materials & Metallurgy","Thermal Management, Battery Technology, Directed Energy, Renewable Energy, Power Electronics, Path Planning, Control Systems, AI & Machine Learning, Robotics Engineering, Sensors & Actuators, Material Science, Metallurgy",19,16,Masters,32,8.5,9.0,12,172
Dr. Keshav Jain,"Energy Systems, Cybersecurity & Information Technology","Directed Energy, Power Electronics, Renewable Energy, Thermal Management, Battery Technology, Network Security, Cryptography, Cyber Defense, Simulation & Modeling",17,14,PhD,38,9.0,9.0,9,173
Dr. Ananya Mehta,"Cybersecurity & Information Technology, Electronics & Communication","Cryptography, Ethical Hacking, Network Security, Simulation & Modeling, Cyber Defense, RF Engineering",15,12,PhD,25,8.0,9.0,6,174
Vedant Bansal,"Materials & Metallurgy, Aerospace & Aeronautics","Nanotechnology, Failure Analysis, Metallurgy, Material Science, Composite Materials, Propulsion Systems, CAD & Simulation, Material Science",10,8,Masters,18,7.0,8.0,8,175
Dr. Ishaan Jain,"Chemical & Biological Defense, Nuclear Technology","Biotechnology, Detection Systems, Chemical Engineering, Decontamination, Protective Gear Design, Radiation Protection",12,10,PhD,22,9.0,9.0,6,176
Priyanshi Jain,"Materials & Metallurgy, Armaments & Combat Engineering","Nanotechnology, Material Science, Composite Materials, Metallurgy, Failure Analysis, Testing & Validation, Ballistics, Explosive Chemistry",15,12,Masters,28,8.0,9.0,8,177
Dr. Sahil Jain,Cybersecurity & Information Technology,"Ethical Hacking, Network Security, Cyber Defense, Cryptography, Simulation & Modeling",10,8,PhD,20,9.0,9.0,5,178
Aman Jain,"Nuclear Technology, Missile & Strategic Systems","Nuclear Weapons Design, Nuclear Physics, Radiation Protection, Safety Protocols, Nuclear Engineering, Simulation & Modeling, System Integration",12,10,Masters,25,8.0,9.0,7,179
Dr. Kunal Jain,"Nuclear Technology, Energy Systems","Nuclear Physics, Safety Protocols, Nuclear Weapons Design, Nuclear Engineering, Radiation Protection, Directed Energy, Power Electronics, Thermal Management, Renewable Energy",15,12,PhD,30,9.0,9.0,9,180
Kush Jain,"Nuclear Technology, Naval Systems","Nuclear Engineering, Safety Protocols, Radiation Protection, Nuclear Physics, Nuclear Weapons Design, Submarine Technology, Hydrodynamics, Sonar Technology",10,8,Masters,22,8.0,9.0,8,181
Dr. Aniket Jain,"Materials & Metallurgy, Energy Systems","Nanotechnology, Material Science, Composite Materials, Metallurgy, Failure Analysis, Battery Technology, Directed Energy, Renewable Energy",12,10,PhD,28,9.0,9.0,8,182
Dr. Rishabh Jain,"Missile & Strategic Systems, Chemical & Biological Defense, Cybersecurity & Information Technology","Guidance & Control, Simulation & Modeling, Propulsion Technology, Aerodynamics, System Integration, Decontamination, Detection Systems, Protective Gear Design, Biotechnology, Chemical Engineering, Network Security, Ethical Hacking",15,3,PhD,15,7.0,8.0,12,183
Rohan Gupta,"Nuclear Technology, Electronics & Communication","Nuclear Physics, Safety Protocols, Radiation Protection, Nuclear Weapons Design, Nuclear Engineering, RF Engineering, Antenna Design, Embedded Systems, Electronic Warfare",10,4,Masters,12,9.0,8.0,9,184
Dr. Kabir Gupta,"Cybersecurity & Information Technology, Missile & Strategic Systems, Materials & Metallurgy","Cryptography, Cyber Defense, Simulation & Modeling, Network Security, Ethical Hacking, Aerodynamics, Simulation & Modeling, Guidance & Control, Propulsion Technology, System Integration, Material Science",14,6,PhD,18,8.0,9.0,11,185
Keshav Gupta,"Missile & Strategic Systems, Cybersecurity & Information Technology","Aerodynamics, Propulsion Technology, System Integration, Simulation & Modeling, Guidance & Control, Simulation & Modeling, Cyber Defense, Network Security, Ethical Hacking",13,2,Masters,10,6.0,7.0,9,186
Dr. Sakshi Gupta,"Aerospace & Aeronautics, Armaments & Combat Engineering","CAD & Simulation, Flight Mechanics, Aerodynamics, Material Science, Propulsion Systems, Explosive Chemistry, Testing & Validation, Mechanical Design, Ballistics, Systems Integration",11,5,PhD,14,9.0,8.0,10,187
Ananya Gupta,Armaments & Combat Engineering,"Testing & Validation, Systems Integration, Mechanical Design, Explosive Chemistry",16,7,Masters,22,7.0,9.0,4,188
Dr. Vedant Gupta,"Energy Systems, Simulation & Training","Directed Energy, Thermal Management, Renewable Energy, Battery Technology, Power Electronics, Virtual Reality (VR)",9,3,PhD,11,8.0,7.0,6,189
Kavita Rao,"Armaments & Combat Engineering, Materials & Metallurgy","Explosive Chemistry, Systems Integration, Testing & Validation, Mechanical Design, Ballistics, Metallurgy, Failure Analysis, Composite Materials, Material Science",12,6,Masters,16,9.0,8.0,9,190
Dr. Priya Desai,Nuclear Technology,"Nuclear Engineering, Nuclear Weapons Design, Radiation Protection, Nuclear Physics",15,4,PhD,19,8.0,9.0,4,191
Akshay Bansal,"Robotics & Autonomous Systems, Chemical & Biological Defense, Armaments & Combat Engineering","Control Systems, Robotics Engineering, AI & Machine Learning, Sensors & Actuators, Path Planning, Detection Systems, Chemical Engineering, Biotechnology, Decontamination, Protective Gear Design, Explosive Chemistry",12,5,Masters,20,8.0,9.0,11,192
Dr. Nalini Gupta,"Materials & Metallurgy, Energy Systems","Composite Materials, Material Science, Nanotechnology, Metallurgy, Failure Analysis, Power Electronics, Renewable Energy, Battery Technology",10,3,PhD,15,7.0,8.0,8,193
Vikas Jain,"Armaments & Combat Engineering, Missile & Strategic Systems","Ballistics, Mechanical Design, Systems Integration, Testing & Validation, Explosive Chemistry, Guidance & Control, Aerodynamics, System Integration, Simulation & Modeling",8,2,Masters,10,9.0,8.0,9,194
Dr. Rohini Shah,"Armaments & Combat Engineering, Robotics & Autonomous Systems","Mechanical Design, Testing & Validation, Explosive Chemistry, Systems Integration, Ballistics, Sensors & Actuators, Control Systems, Robotics Engineering, Path Planning, AI & Machine Learning",12,6,PhD,25,8.0,9.0,10,195
Gagan Kumar,"Robotics & Autonomous Systems, Naval Systems","Sensors & Actuators, AI & Machine Learning, Control Systems, Robotics Engineering, Path Planning, Marine Engineering, Weapon Integration, Sonar Technology",10,4,Masters,18,7.0,8.0,8,196
Dr. Rukmini Rao,"Energy Systems, Life Sciences","Power Electronics, Renewable Energy, Directed Energy, Battery Technology, Thermal Management, Biomedical Engineering",8,3,PhD,12,9.0,8.0,6,197
Abhay Lakhani,Cybersecurity & Information Technology,"Ethical Hacking, Cryptography, Network Security, Cyber Defense",12,5,Masters,20,8.0,9.0,4,198
Shilpa Singh,"Missile & Strategic Systems, Materials & Metallurgy","System Integration, Aerodynamics, Guidance & Control, Simulation & Modeling, Propulsion Technology, Metallurgy, Composite Materials, Nanotechnology, Material Science, Failure Analysis",12,7,Masters,10,8.0,9.0,10,199
Dr. Arjun Saha,"Missile & Strategic Systems, Guidance & Control Systems","Aerodynamics, Simulation & Modeling, System Integration, Guidance & Control, Propulsion Technology, Embedded Systems, Sensor Fusion",12,5,PhD,20,8.0,9.0,7,200
Sonalee Biswas,"Life Sciences, Nuclear Technology","Biomedical Engineering, Environmental Science, Biotechnology, Physiology, Nutrition Science, Nuclear Physics, Nuclear Weapons Design, Radiation Protection, Safety Protocols, Nuclear Engineering",8,3,Masters,15,7.0,8.0,10,201
Dr. Yogesh Prasad,"Cybersecurity & Information Technology, Electronics & Communication, Artificial Intelligence & Machine Learning","Simulation & Modeling, Ethical Hacking, Cryptography, Network Security, Cyber Defense, Electronic Warfare, Embedded Systems, Antenna Design, RF Engineering, Secure Communication, Predictive Analytics",10,4,PhD,25,9.0,9.0,11,202
Krishna Kumar,"Electronics & Communication, Energy Systems, Chemical & Biological Defense","RF Engineering, Secure Communication, Electronic Warfare, Embedded Systems, Antenna Design, Thermal Management, Renewable Energy, Battery Technology, Power Electronics, Directed Energy, Decontamination, Biotechnology",12,6,Masters,18,8.0,8.0,12,203
Dr. Aarti Deshpande,"Guidance & Control Systems, Electronics & Communication, Aerospace & Aeronautics","Control Theory, Algorithm Development, Inertial Navigation, Sensor Fusion, Embedded Systems, Antenna Design, Secure Communication, RF Engineering, Electronic Warfare, Embedded Systems, Aerodynamics, CAD & Simulation",9,2,PhD,22,9.0,9.0,12,204
Mayank Gandhi,"Armaments & Combat Engineering, Electronics & Communication","Ballistics, Explosive Chemistry, Systems Integration, Testing & Validation, Mechanical Design, Antenna Design, Electronic Warfare, Secure Communication, Embedded Systems",11,5,Masters,19,8.0,8.0,9,205
Dr. Tanvi Joshi,"Electronics & Communication, Life Sciences, Simulation & Training","Embedded Systems, Antenna Design, RF Engineering, Secure Communication, Electronic Warfare, Physiology, Nutrition Science, Biomedical Engineering, Biotechnology, Environmental Science, Virtual Reality (VR)",10,3,PhD,21,9.0,9.0,11,206
Siddharth Agarwal,"Chemical & Biological Defense, Nuclear Technology","Chemical Engineering, Decontamination, Detection Systems, Biotechnology, Protective Gear Design, Safety Protocols, Nuclear Engineering, Nuclear Weapons Design",9,2,Masters,16,8.0,8.0,8,207
Dr. Meenakshi Dhar,Nuclear Technology,"Nuclear Weapons Design, Radiation Protection, Safety Protocols, Nuclear Engineering, Nuclear Physics",11,4,PhD,24,9.0,9.0,5,208
Dr. Sudhir Kumar,"Chemical & Biological Defense, Life Sciences, Energy Systems","Chemical Engineering, Detection Systems, Protective Gear Design, Decontamination, Biotechnology, Biomedical Engineering, Biotechnology, Environmental Science, Physiology, Nutrition Science, Thermal Management, Renewable Energy",12,7,PhD,15,8.0,9.0,12,209
Pooja Menon,"Armaments & Combat Engineering, Missile & Strategic Systems","Explosive Chemistry, Mechanical Design, Systems Integration, Ballistics, Testing & Validation, Propulsion Technology, System Integration, Guidance & Control, Simulation & Modeling",10,5,Masters,20,9.0,8.0,9,210
Dr. Rohan Sengupta,"Armaments & Combat Engineering, Artificial Intelligence & Machine Learning","Explosive Chemistry, Mechanical Design, Ballistics, Testing & Validation, Systems Integration, Computer Vision, Machine Learning Algorithms",15,9,PhD,18,7.0,9.0,7,211
Gaurav Saxena,"Nuclear Technology, Naval Systems","Radiation Protection, Nuclear Weapons Design, Nuclear Physics, Safety Protocols, Nuclear Engineering, Sonar Technology, Weapon Integration",8,4,Masters,12,8.0,7.0,7,212
Dr. Komal Mahesh,"Robotics & Autonomous Systems, Guidance & Control Systems, Naval Systems","AI & Machine Learning, Control Systems, Sensors & Actuators, Robotics Engineering, Path Planning, Sensor Fusion, Embedded Systems, Inertial Navigation, Control Theory, Algorithm Development, Sonar Technology",12,6,PhD,22,9.0,8.0,11,213
Pramod Jaiswal,"Aerospace & Aeronautics, Materials & Metallurgy","Flight Mechanics, Propulsion Systems, CAD & Simulation, Material Science, Aerodynamics, Material Science, Nanotechnology",10,8,Masters,16,7.0,8.0,7,214
Dr. Shikha Agarwal,"Chemical & Biological Defense, Electronics & Communication","Detection Systems, Chemical Engineering, Protective Gear Design, Biotechnology, Decontamination, Antenna Design",14,10,PhD,25,9.0,9.0,6,215
Ujjawal Jain,"Aerospace & Aeronautics, Cybersecurity & Information Technology","Material Science, CAD & Simulation, Propulsion Systems, Aerodynamics, Flight Mechanics, Ethical Hacking, Simulation & Modeling, Network Security, Cyber Defense",11,7,Masters,19,8.0,7.0,9,216
Dr. Madhavi Reddy,"Energy Systems, Guidance & Control Systems, Robotics & Autonomous Systems","Directed Energy, Battery Technology, Renewable Energy, Power Electronics, Thermal Management, Control Theory, Sensor Fusion, Algorithm Development, Inertial Navigation, Embedded Systems, AI & Machine Learning, Robotics Engineering",9,5,PhD,14,9.0,8.0,12,217
Dr. Vinay Laddha,"Nuclear Technology, Life Sciences","Nuclear Physics, Nuclear Engineering, Radiation Protection, Safety Protocols, Nuclear Weapons Design, Nutrition Science, Biomedical Engineering, Physiology, Environmental Science",15,5,PhD,20,8.0,9.0,9,218
Dr. Lavanya Gopalan,"Life Sciences, Materials & Metallurgy","Biotechnology, Nutrition Science, Environmental Science, Physiology, Biomedical Engineering, Metallurgy, Material Science, Composite Materials, Failure Analysis, Nanotechnology",15,5,PhD,20,8.0,9.0,10,219
Dilip Mittal,"Armaments & Combat Engineering, Life Sciences","Systems Integration, Ballistics, Mechanical Design, Explosive Chemistry, Testing & Validation, Biomedical Engineering",15,3,Masters,12,8.0,9.0,6,220
Anjali Jain,"Guidance & Control Systems, Life Sciences","Control Theory, Algorithm Development, Embedded Systems, Inertial Navigation, Sensor Fusion, Environmental Science, Biomedical Engineering, Biotechnology, Physiology",15,7,Masters,20,8.0,9.0,9,221
Dr. Karan Mehta,"Robotics & Autonomous Systems, Chemical & Biological Defense, Electronics & Communication","AI & Machine Learning, Control Systems, Path Planning, Sensors & Actuators, Robotics Engineering, Protective Gear Design, Decontamination, Chemical Engineering, Detection Systems, Biotechnology, RF Engineering",12,5,PhD,17,8.0,9.0,11,222
Sangeeta Seth,"Energy Systems, Simulation & Training, Aerospace & Aeronautics","Thermal Management, Directed Energy, Power Electronics, Battery Technology, Renewable Energy, Flight Simulation, Simulation Modeling, Game Design, Virtual Reality (VR), Scenario Development, Material Science, Flight Mechanics",10,4,Masters,12,7.0,8.0,12,223
Dr. Javed Ali,"Chemical & Biological Defense, Energy Systems","Protective Gear Design, Decontamination, Biotechnology, Chemical Engineering, Detection Systems, Renewable Energy",8,3,PhD,15,9.0,8.0,6,224
Priyanka Thakur,"Missile & Strategic Systems, Aerospace & Aeronautics, Cybersecurity & Information Technology","System Integration, Simulation & Modeling, Propulsion Technology, Guidance & Control, Aerodynamics, Aerodynamics, Material Science, Propulsion Systems, CAD & Simulation, Flight Mechanics, Simulation & Modeling",12,6,Masters,18,8.0,9.0,11,225
Dr. Siddhartha Roy,Chemical & Biological Defense,"Biotechnology, Decontamination, Protective Gear Design, Detection Systems, Chemical Engineering",10,5,PhD,14,7.0,8.0,5,226
Jagdish Bhattacharya,"Nuclear Technology, Materials & Metallurgy","Radiation Protection, Nuclear Weapons Design, Nuclear Engineering, Safety Protocols, Nuclear Physics, Failure Analysis, Metallurgy, Composite Materials",8,4,Masters,11,8.0,9.0,8,227
Dr. Ramesh Kaul,"Materials & Metallurgy, Artificial Intelligence & Machine Learning, Armaments & Combat Engineering","Material Science, Metallurgy, Failure Analysis, Composite Materials, Nanotechnology, Predictive Analytics, Autonomous Systems, Natural Language Processing, Machine Learning Algorithms, Computer Vision, Ballistics",12,6,PhD,19,9.0,8.0,11,228
Anita Purohit,Guidance & Control Systems,"Sensor Fusion, Algorithm Development, Embedded Systems, Control Theory",10,5,Masters,13,8.0,9.0,4,229
Dr. Manoj Kumar,"Energy Systems, Life Sciences, Cybersecurity & Information Technology","Renewable Energy, Directed Energy, Thermal Management, Power Electronics, Battery Technology, Physiology, Biotechnology, Biomedical Engineering, Environmental Science, Nutrition Science, Ethical Hacking",8,4,PhD,16,9.0,8.0,11,230
Reema Raj,"Electronics & Communication, Robotics & Autonomous Systems","Embedded Systems, Antenna Design, RF Engineering, Secure Communication, Electronic Warfare, Robotics Engineering, Control Systems, Path Planning, AI & Machine Learning",10,5,Masters,14,8.0,9.0,9,231
Dr. Piyush Sharma,Cybersecurity & Information Technology,"Network Security, Simulation & Modeling, Cyber Defense, Cryptography",12,5,PhD,20,8.0,9.0,4,232
Mousami Dixit,"Chemical & Biological Defense, Life Sciences","Detection Systems, Decontamination, Protective Gear Design, Biotechnology, Chemical Engineering, Nutrition Science, Physiology, Biotechnology",15,7,Masters,15,9.0,8.0,8,233
